город Москва,Сумма,район Богородское,район Вешняки,район Восточное Измайлово,район Гольяново,район Ивановское,район Измайлово,район Косино-Ухтомский,район Метрогородок,район Новокосино,район Новогиреево,район Перово,район Восточный,район Преображенское,район Северное Измайлово,район Соколиная гора,район Сокольники,район Внуково,район Дорогомилово,район Крылатское,район Кунцево,Можайский район,район Ново-Переделкино,район Очаково-Матвеевское,район Проспект Вернадского,район Раменки,район Солнцево,район Тропарево-Никулино,район Филевский парк,район Фили-Давыдково,район Силино,район Крюково,район Старое Крюково,район Матушкино,район Аэропорт,район Беговой,Бескудниковский район,район Савелки,Войковский район,район Восточное Дегунино,Головинский район,Дмитровский район,район Западное Дегунино,район Коптево,Левобережный район,Молжаниновский район,Савеловский район,район Сокол,Тимирязевский район,район Ховрино,Хорошевский район,Алексеевский район,Алтуфьевский район,Бабушкинский район,район Бибирево,Бутырский район,район Лианозово,Лосиноостровский район,район Марфино,район Марьина Роща,Останкинский район,район Отрадное,район Ростокино,район Свиблово,район Северное Медведково,район Северный,район Южное Медведково,Ярославский район,район Куркино,район Митино,район Покровское-Стрешнево,район Северное Тушино,район Строгино,район Хорошево-Мневники,район Щукино,район Южное Тушино,район Арбат,Басманный район,район Замоскворечье,Красносельский район,Мещанский район,Пресненский район,Таганский район,Тверской район,район Хамовники,район Якиманка,район Выхино-Жулебино,район Капотня,район Кузьминки,район Лефортово,район Люблино,район Марьино,район Некрасовка,Нижегородский район,район Печатники,Рязанский район,район Текстильщики,Южнопортовый район,Академический район,Гагаринский район,район Зюзино,район Коньково,район Котловка,Ломоносовский район,Обручевский район,район Северное Бутово,район Теплый Стан,район Черемушки,район Южное Бутово,район Ясенево,район Бирюлево Восточное,район Бирюлево Западное,район Братеево,Даниловский район,Донской район,район Зябликово,район Москворечье-Сабурово,район Нагатино-Садовники,район Нагатинский затон,Нагорный район,район Орехово-Борисово Северное,район Орехово-Борисово Южное,район Царицыно,район Чертаново Северное,район Чертаново Центральное,район Чертаново Южное,Новомосковская,Троицкий административный округ,Сосенская
"изб.бюллетеней, утраченных",79,0,0,0,0,0,0,0,0,0,6,0,0,0,6,2,0,0,0,2,0,0,0,10,0,1,0,11,7,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,1
"изб.бюллетеней, не учтенных при получении",15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,43317,356,500,316,570,468,351,214,141,378,366,493,38,349,317,369,244,83,239,381,560,495,380,417,204,502,375,437,345,400,153,362,117,158,275,150,271,136,280,289,413,260,316,405,208,28,239,221,309,383,303,252,179,378,531,255,329,327,125,223,238,674,130,210,358,121,273,294,96,664,227,605,542,605,423,410,125,447,165,148,244,470,500,329,381,109,783,82,459,315,518,819,160,144,300,359,355,230,352,309,428,625,251,326,275,300,502,377,697,686,423,255,281,341,183,369,242,294,420,265,372,386,384,399,363,497,401,400,439
Грудинин,563670,4738,4749,3409,7269,5442,4565,3975,1586,5291,4360,5920,639,3555,3896,4173,2891,1243,3191,4102,6815,5877,5116,5486,2876,6274,4866,6037,3684,4903,2114,4751,1426,1911,3225,1733,3226,1788,3511,4012,4669,3354,3551,4359,2376,543,2905,2690,4094,4126,3918,3477,2107,4061,6332,2991,3882,3833,1641,2706,2716,8095,1836,2712,4880,1784,3661,3929,1628,8766,2589,5939,6517,6847,4814,4301,1284,4936,2509,2173,3080,5438,5867,3961,4574,1267,10578,1360,5392,4760,7491,12059,3042,2100,4110,4518,4213,3211,4655,3647,5315,7474,2732,4067,3647,4933,5987,5053,11011,8330,7203,3621,4880,4099,2098,6303,4232,3745,4418,3466,6826,8130,5687,4630,4935,6465,8813,7368,8723
Жириновский,211995,2060,1991,1351,3060,2269,1937,1445,740,1993,1672,2285,288,1309,1658,1702,1280,485,863,1261,2342,2609,1992,2364,747,1506,2269,1387,1361,1661,955,2278,733,1010,946,600,1590,781,1226,1917,1823,1687,1729,1723,823,232,1082,734,1310,1393,1185,1035,1101,1667,3261,1045,1750,1649,670,910,857,3933,720,1036,2524,892,1852,1597,395,3194,1023,2603,2559,2534,1694,1900,330,1584,744,821,866,1612,1874,1141,1247,334,4014,653,2188,1726,3439,4831,1411,1019,1918,1641,1696,1189,1297,768,1871,2240,998,950,1030,1544,1961,1508,3881,2842,2592,1757,1848,1672,790,1921,1246,1580,2355,1302,1899,2208,2059,1505,2081,3040,2890,2927,3110
Путин,3201257,27833,34587,19359,42744,34657,24171,21273,10028,29786,24929,34032,4087,19803,23217,22965,15433,7402,14076,22660,36020,36330,32785,31522,15201,31550,31929,28555,19761,25289,14188,31453,10582,13356,17255,10062,21415,11913,18454,25644,27335,23828,23745,25644,14357,3218,15523,12322,19881,24301,20297,17153,14680,25112,43280,15945,24974,23660,9279,14232,13801,52837,10076,14500,30342,10374,22409,23259,9105,51516,15339,38035,39611,40500,27418,27214,6851,24424,12041,11965,15435,28560,30343,19536,22586,6078,58199,7732,32560,24311,47051,70431,17958,11052,24304,26321,25561,18547,23059,16430,29105,38876,15553,19388,19226,26117,34373,25222,59831,47837,38841,21183,26510,24335,12191,32547,20440,20542,31101,20039,30798,36940,30505,26651,30313,40993,47236,44629,47192
Собчак,184206,1602,1456,1106,2011,1484,1554,736,418,1313,1424,1884,128,1393,1284,1393,1336,258,1446,1600,2305,1770,1283,1650,1331,2740,1262,2387,1373,1688,568,1329,395,585,1769,883,978,566,1551,1076,1564,879,1005,1533,980,107,1213,1328,1538,1737,1710,1541,559,1340,1852,1089,1037,1185,711,1025,1131,2628,683,976,1547,411,1166,1103,835,2736,908,2101,2047,2855,2172,1359,726,2474,1219,936,1488,2913,2343,2574,2562,706,2793,182,1702,1472,1834,3108,710,500,1151,1463,1203,1132,2152,1926,1807,2810,899,2000,1552,1234,2269,1854,2561,2415,1403,681,1008,1581,979,1184,1033,1214,1526,1128,1332,1399,1383,1510,1433,1573,1993,1410,1860
Сурайкин,32664,300,334,221,482,363,239,196,124,288,341,369,43,225,250,247,180,64,204,215,405,384,340,316,142,295,320,269,178,302,123,292,109,119,180,120,220,118,251,292,294,254,245,264,155,25,155,138,253,279,188,187,140,291,458,186,258,235,79,184,160,540,121,147,291,80,205,238,50,463,172,429,396,415,312,278,73,288,116,138,162,284,359,221,253,68,581,74,349,257,389,674,159,120,253,265,254,186,248,190,308,417,157,215,207,253,346,262,557,509,361,213,259,264,129,326,204,217,314,163,320,344,270,262,341,424,299,392,345
Титов,70323,668,561,414,823,624,656,353,173,554,565,689,49,505,478,579,436,98,503,667,961,719,504,595,476,1062,492,966,521,620,258,580,190,265,566,284,430,248,528,458,615,391,408,590,389,41,407,479,531,694,664,537,253,547,809,390,478,480,237,391,384,1100,245,334,615,175,501,470,321,1100,366,837,833,1008,726,595,241,792,363,292,469,864,812,707,835,219,1072,93,615,569,678,1261,267,198,423,574,495,382,751,606,642,1065,359,675,583,576,852,736,1081,1051,562,275,359,521,288,530,432,490,613,482,488,510,559,598,613,680,719,613,734
Явлинский,143039,1234,1274,970,1713,1297,1433,508,372,922,1157,1549,101,1318,1062,1165,1077,136,1201,1193,1817,1245,926,1271,980,2018,862,2176,1045,1361,516,902,336,454,1489,709,727,474,1133,870,1322,626,818,1287,927,63,1020,1104,1297,1517,1208,1277,399,1156,1466,811,870,1049,476,910,1024,2078,521,782,1203,279,885,894,459,1926,739,1776,1766,2070,1873,1190,537,1739,959,720,1099,1914,1822,1614,1865,541,2082,118,1306,992,1339,2194,325,341,715,999,966,819,1662,1868,1503,2390,741,1670,1146,857,1939,1446,1788,2324,934,484,602,1283,739,969,746,910,1182,893,1173,1056,1026,1156,1086,1290,999,1047,1063
