Ростовская область,Сумма,Азовская городская,Азовская,Аксайская,Багаевская,Батайская городская,Белокалитвинская,Боковская,Верхнедонская,Веселовская,Волгодонская городская,Волгодонская,Гуковская городская,Донецкая городская,Дубовская,Егорлыкская,Заветинская,Зверевская городская,Зерноградская,Зимовниковская,Кагальницкая,Каменск-Шахтинская городская,Каменская,Кашарская,Константиновская,Красносулинская,Куйбышевская,Мартыновская,Матвеево-Курганская,Миллеровская,Милютинская,Морозовская,Мясниковская,Неклиновская,Новочеркасская городская,Новошахтинская городская,Обливская,Октябрьская,Орловская,Песчанокопская,Пролетарская,Ремонтненская,Родионово-Несветайская,"Ростов-на-Дону, Ворошиловская","Ростов-на-Дону, Железнодорожная","Ростов-на-Дону, Кировская","Ростов-на-Дону, Ленинская","Ростов-на-Дону, Октябрьская","Ростов-на-Дону, Первомайская","Ростов-на-Дону, Пролетарская","Ростов-на-Дону, Советская",Сальская,Семикаракорская,Советская,Таганрогская городская,Тарасовская,Тацинская,Усть-Донецкая,Целинская,Цимлянская,Чертковская,Шахтинская городская,Шолоховская
"изб.бюллетеней, утраченных",26,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,5,0,2,0,0,0,0,0,0,2,0,0,2,0
"изб.бюллетеней, не учтенных при получении",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,11741,247,220,297,89,301,294,21,70,61,503,73,181,106,38,75,36,51,194,74,87,263,124,60,108,167,19,88,114,159,37,84,172,249,464,176,50,173,107,70,99,48,56,659,367,214,191,517,583,327,628,279,123,10,894,45,93,67,68,84,94,500,93
Грудинин,236287,4743,4315,6286,1441,6659,5867,683,1254,1569,9774,1493,3876,2029,1093,1668,872,1013,4440,2540,2274,5443,2381,1246,1797,4108,727,1733,2200,3199,927,2324,4552,3705,12139,3871,927,3800,2214,1934,2958,1442,1142,10099,4829,3655,2981,8825,10914,6305,10134,7831,2514,339,16493,1100,1919,1475,1815,2002,1890,10414,2095
Жириновский,106905,1776,2200,2601,686,2722,3398,413,706,658,5041,811,2017,1472,542,774,334,693,1842,945,1040,3130,1432,658,1042,2272,375,971,1313,1757,522,1298,1113,2103,4266,2133,572,2183,1008,679,1074,390,610,4134,1971,1245,1043,3170,3975,2399,3804,2552,1449,170,6882,868,889,876,976,1131,1185,5648,966
Путин,1641189,32420,45942,49069,13209,46914,37407,7996,9916,9425,60809,14031,19047,16688,9985,20287,5620,8329,22548,11441,12680,31759,21429,10493,13276,27629,5353,13477,18702,26674,6649,16936,20596,40542,57327,28252,6308,37471,17776,16415,12178,7239,11398,85939,37134,24552,25758,56909,62740,44660,63041,50005,20692,3273,99640,11616,16297,14184,14997,12454,18264,67854,9538
Собчак,23036,396,339,597,110,631,329,39,59,84,983,115,233,158,89,119,70,59,228,120,125,397,102,52,104,254,36,123,119,177,40,127,357,301,1164,250,62,309,124,99,121,86,75,1820,750,828,685,1466,1325,1012,1740,328,171,18,1902,68,98,79,91,126,86,1005,76
Сурайкин,14121,283,249,324,116,361,370,41,60,80,680,74,224,175,55,112,51,54,268,105,148,335,146,71,115,289,35,129,161,191,40,156,221,303,552,248,61,294,127,94,103,64,80,727,342,186,176,546,595,377,614,311,194,13,1015,92,139,67,96,134,100,660,92
Титов,13046,289,167,324,46,385,206,26,31,53,610,58,134,109,23,54,19,45,152,31,81,215,77,23,74,154,13,59,58,92,32,65,155,183,656,171,27,208,91,52,67,33,48,900,436,401,336,810,842,623,909,186,114,3,1159,50,61,61,47,81,38,542,51
Явлинский,13761,305,159,263,37,343,168,18,18,25,533,45,128,67,21,43,15,43,89,30,73,214,55,17,49,95,9,42,44,84,21,61,161,166,625,169,22,145,78,50,43,26,45,1305,533,546,385,982,838,867,1242,152,83,3,1401,40,49,45,37,57,51,468,33
